Date,Open,High,Low,Close,Volume
2021-07-30,67.18467,68.28465,67.00493,67.14153,3858764
2021-08-02,67.50099,67.79576,67.40034,67.60883,1341589
2021-08-03,67.78857,67.78857,66.86114,67.12715,2492393
2021-08-04,67.01209,67.40032,66.82516,66.91144,2693104
2021-08-05,66.86113,66.96897,66.73172,66.87550,1122036
2021-08-06,66.99773,67.32844,66.80361,66.88270,1041317
2021-08-09,66.90428,67.17028,66.14220,66.34351,1296531
2021-08-10,66.34349,66.59511,65.96245,66.26440,1300537
2021-08-11,66.26440,66.68139,65.99840,66.11343,667085
2021-08-12,66.20690,66.35069,65.78273,65.96246,1545837
2021-08-13,65.93370,66.02716,65.31542,65.40888,454529
2021-08-16,65.07098,65.42326,64.56053,65.18600,1015930
2021-08-17,65.42326,65.63175,65.13568,65.34418,765656
2021-08-18,65.34418,65.34418,65.34418,65.34418,0
2021-08-19,65.34418,65.34418,65.34418,65.34418,0
2021-08-20,65.20757,65.42325,64.85529,65.02783,539327
2021-08-23,65.42325,68.29900,65.02784,67.16308,3574314
2021-08-24,67.40033,67.58007,66.67421,66.81081,1478566
2021-08-25,66.82518,67.49379,66.53761,66.71015,1774186
2021-08-26,66.68140,67.14871,65.94809,66.10625,906337
2021-08-27,66.13499,66.13499,64.92718,65.41605,1831637
2021-08-30,65.60298,67.57287,65.60298,66.62387,2555308
2021-08-31,66.64544,67.24935,66.21408,66.76048,1163744
2021-09-01,67.22059,67.47222,66.76047,66.83955,1378657
2021-09-02,66.76047,66.76047,65.50233,65.71082,1049966
2021-09-03,65.78273,66.42258,65.13568,65.55986,1741010
2021-09-06,65.40167,66.28596,65.40167,65.75395,912364
2021-09-07,65.78272,65.78272,64.71150,65.07816,1075007
2021-09-08,65.06378,65.42325,62.90697,63.35271,3841170
2021-09-09,63.62592,64.30890,63.38148,63.66187,1529209
2021-09-10,63.62591,64.41674,63.62591,63.97819,1755763
2021-09-13,64.51739,65.07816,64.12917,64.38080,1570144
2021-09-14,64.59647,65.20757,63.17298,63.30957,2993014
2021-09-15,63.69781,63.69781,62.54751,62.95012,1078705
2021-09-16,63.33114,64.52458,63.10828,64.10760,4201784
2021-09-17,64.34484,64.99189,63.44617,63.82721,3501545
2021-09-20,64.20107,64.20107,62.69130,62.82071,1106377
2021-09-21,63.19456,63.19456,61.11683,61.79982,1880219
2021-09-22,61.75668,61.90047,60.53449,61.17434,2706271
2021-09-23,61.32531,61.79262,58.23388,59.98090,3059990
2021-09-24,60.39069,60.82205,59.63580,60.56323,2210113
2021-09-27,61.03774,61.46910,60.31880,60.83644,2957017
2021-09-28,60.67828,60.75017,58.41363,59.95215,7349133
2021-09-29,59.67176,60.03123,58.37767,58.65805,6406389
2021-09-30,58.32017,61.03775,57.94632,60.24692,3986605
2021-10-01,60.35475,60.35475,59.42014,59.75085,1223045
2021-10-04,59.85149,60.05279,59.49202,59.95933,1085134
2021-10-05,60.24690,60.24690,58.19074,58.34172,3965185
2021-10-06,58.59336,59.85150,58.35611,58.52147,3174188
2021-10-07,58.86655,59.20445,58.39924,58.48551,947091
2021-10-08,58.84498,58.84498,58.30578,58.59335,2917327
2021-10-11,58.60054,59.31229,58.44238,58.76590,1850337
2021-10-12,58.95282,59.16851,58.11167,58.83779,2561805
2021-10-13,58.52146,59.81555,57.88161,58.25546,2533731
